text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"WATCH LIVE: Joe Biden Speaks in Scranton, Pennsylvania https://t.co/yNWHciXiGS",FALSE,791,NA,2019-10-23T14:18:29Z,FALSE,NA,1187010406406950914,NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,236,FALSE,FALSE,NA,NA
"This morning, I’ll be in my hometown of Scranton, Pennsylvania, to discuss my plans to build a middle class where e… https://t.co/LnLgyXRJ28",FALSE,1750,NA,2019-10-23T13:19:08Z,TRUE,NA,1186995473112018946,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,295,FALSE,FALSE,NA,NA
"Once again, Putin and the Russians are interfering in the elections and trying to pick our president -- this time t… https://t.co/dDTDis71vT",FALSE,7181,NA,2019-10-23T12:55:44Z,TRUE,NA,1186989582182694922,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoeBiden,2067,FALSE,FALSE,NA,NA
This wasn’t the right word to use and I’m sorry about that. Trump on the other hand chose his words deliberately to… https://t.co/n3x4tmcNco,FALSE,14961,NA,2019-10-23T02:23:20Z,TRUE,NA,1186830433985748993,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoeBiden,3582,FALSE,FALSE,NA,NA
"The moral obligation of our time is to restore, rebuild, and respect the backbone of America—the middle class. That… https://t.co/A7TBMEmF92",FALSE,11282,NA,2019-10-22T22:50:00Z,TRUE,NA,1186776746428907521,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,1741,FALSE,FALSE,NA,NA
Our gun and domestic violence epidemics are linked — and we must take action to end them both. Leader McConnell sho… https://t.co/jvO1NiySpR,FALSE,2209,NA,2019-10-22T20:45:00Z,TRUE,NA,1186745289106972673,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,501,FALSE,FALSE,NA,NA
"Campbell is an incredible young man, and I’m proud to have played a small part in his journey.

To anyone working t… https://t.co/euEHd47g3L",FALSE,3653,NA,2019-10-22T19:38:00Z,TRUE,NA,1186728427845406720,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,905,FALSE,FALSE,NA,NA
"There used to be a basic bargain in America—when your company did well, you shared in the prosperity. We must resto… https://t.co/B0cxs1uKB3",FALSE,1770,NA,2019-10-22T18:15:00Z,TRUE,NA,1186707540748275713,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,356,FALSE,FALSE,NA,NA
"Impeachment is not ""lynching,"" it is part of our Constitution. Our country has a dark, shameful history with lynchi… https://t.co/FoEcKwppfE",FALSE,45522,NA,2019-10-22T17:10:22Z,TRUE,NA,1186691273870233601,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoeBiden,7236,FALSE,FALSE,NA,NA
Las armas de asalto y los cartuchos de alta capacidad no tienen lugar en nuestras comunidades. Yo me enfrente al… https://t.co/oUprKhbP4y,FALSE,722,NA,2019-10-22T15:40:00Z,TRUE,NA,1186668533591236609,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,176,FALSE,FALSE,NA,NA
"We are truly in a battle for the soul of our nation, and it’s up to all of us to stand up and reject intolerance in… https://t.co/hm0Jo9is1c",FALSE,9600,NA,2019-10-22T00:31:18Z,TRUE,NA,1186439854630023168,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoeBiden,1885,FALSE,FALSE,NA,NA
"The Russian Facebook trolls are back — and this time, they're going after my campaign. We cannot let 2016 repeat it… https://t.co/IBrBIkQSfw",FALSE,4511,NA,2019-10-21T23:16:24Z,TRUE,NA,1186421004270297088,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JoeBiden,1582,FALSE,FALSE,NA,NA
Donald Trump talks tough on trade but has nothing to show for it—other than pain for America's families. Mike Pence… https://t.co/sljLW05RDP,FALSE,4134,NA,2019-10-21T22:35:00Z,TRUE,NA,1186410583647752192,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,887,FALSE,FALSE,NA,NA
Assault weapons and high-capacity magazines have no place in our communities. I’ve taken on the @NRA to ban them on… https://t.co/XuTOAcIKSP,FALSE,4529,NA,2019-10-21T18:45:00Z,TRUE,NA,1186352702420344832,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,818,FALSE,FALSE,NA,NA
