,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,scores,compound,comp_score
389,"As Ramadan draws to an end, @DrBiden and I want to wish a safe and warm celebration to our Muslim friends and neigh… https://t.co/ujFqTkOKsM",False,25935,,2020-05-24T01:15:00Z,True,,1264364239885676544,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,4651,False,False,,,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.872}",0.872,pos
390,This is jarring — and a heartbreaking reminder that the death toll we see in the news is so much more than just a s… https://t.co/LNElepISPj,False,27552,,2020-05-24T00:48:05Z,True,,1264357467275886592,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,7404,False,False,,,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.7845}",-0.7845,neg
391,"Donald Trump has failed to live up to our trust and treaty obligations to Native Americans. It’s unacceptable.

I’l… https://t.co/ENyIFx7lQN",False,22733,,2020-05-23T22:15:00Z,True,,1264318941620350976,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,5974,False,False,,,"{'neg': 0.237, 'neu': 0.639, 'pos': 0.124, 'compound': -0.4588}",-0.4588,neg
392,We can protect the sacred right to vote and protect public health at the same time.,False,82885,,2020-05-23T20:25:00Z,False,,1264291259054768128,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,13388,False,False,,,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.6369}",0.6369,pos
393,"The hard truth is Donald Trump ignored the warnings of health experts and intelligence agencies, downplayed the thr… https://t.co/m89z3JiqIe",False,83898,,2020-05-23T18:40:00Z,True,,1264264835036000257,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,20332,False,False,,,"{'neg': 0.233, 'neu': 0.553, 'pos': 0.213, 'compound': 0.128}",0.128,pos
394,"36,000 Americans could be alive today if President Trump had acted sooner. Let's put that into perspective: https://t.co/i2bmqRe86r",False,33536,,2020-05-23T16:30:00Z,False,,1264232120425123841,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,12024,False,False,,,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3818}",0.3818,pos
395,"We're in the midst of the worst economic crisis in our lifetime, and Senate Republicans continue to delay relief fo… https://t.co/FoUpdVE7bS",False,42192,,2020-05-23T14:15:00Z,True,,1264198145988104192,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,12768,False,False,,,"{'neg': 0.343, 'neu': 0.556, 'pos': 0.101, 'compound': -0.8126}",-0.8126,neg
396,Adi is an incredible young advocate for the transgender community. He also graduated high school today. We wanted t… https://t.co/HLQxgQfNHm,False,25083,,2020-05-23T01:30:34Z,True,,1264005770422738947,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,3537,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
397,Chip in to help make it happen: https://t.co/63RkztugeC https://t.co/ud1RASKhzS,False,8236,,2020-05-22T23:11:32Z,False,,1263970782889287680,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1891,False,False,,,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",0.4019,pos
398,No worker’s life is worth getting a cheaper hamburger. Period. https://t.co/hMkO4ILgmx,False,13608,,2020-05-22T22:42:00Z,False,,1263963348405678080,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,3368,False,False,,,"{'neg': 0.182, 'neu': 0.661, 'pos': 0.157, 'compound': -0.0772}",-0.0772,neg
